	ios_all_ratings	ios_current_ratings	ios_file_size	android_avg_rating	android_file_size	android_ratings_1	android_ratings_2	android_ratings_3	android_ratings_4	android_ratings_5	android_total_ratings
23-10-16 2:50	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 3:00	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 3:10	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 3:20	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 3:30	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 3:40	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 3:50	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 4:00	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 4:10	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 4:20	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 4:30	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 4:40	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 4:50	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 5:00	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 5:10	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 5:20	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 5:30	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 5:40	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 5:50	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 6:00	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 6:10	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 6:20	227388	3344	251	4	-9999	952916	277785	514386	832562	4240003	6817652
23-10-16 6:30	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 6:40	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 6:50	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 7:00	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 7:10	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 7:20	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 7:30	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 7:40	227388	3344	251	4	-9999	953259	277841	514521	832731	4240910	6819262
23-10-16 7:50	227388	3344	251	4	-9999	953259	277841	514521	832731	4240910	6819262
23-10-16 8:00	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 8:10	227388	3344	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 8:20	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 8:30	227421	3385	251	4	-9999	953259	277841	514521	832731	4240910	6819262
23-10-16 8:40	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 8:50	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 9:00	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 9:10	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 9:20	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 9:30	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 9:40	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 9:50	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 10:00	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 10:10	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 10:20	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 10:30	227421	3385	251	4	-9999	953289	277847	514527	832747	4240977	6819387
23-10-16 10:40	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 10:50	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 11:00	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 11:10	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 11:20	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 11:30	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 11:40	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 11:50	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 12:00	227421	3385	251	4	-9999	953766	277944	514726	832987	4242377	6821800
23-10-16 12:10	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 12:20	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 12:30	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 12:40	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 12:50	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 13:00	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 13:10	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 13:20	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 13:30	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 13:40	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 13:50	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 14:00	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 14:10	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 14:20	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 14:30	227421	3385	251	4	-9999	953791	277955	514736	833005	4242509	6821996
23-10-16 14:40	227421	3385	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 14:50	227421	3385	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 15:00	227421	3385	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 15:10	227476	3385	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 15:20	227421	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 15:30	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 15:40	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 15:50	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 16:00	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 16:10	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 16:20	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 16:30	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 16:40	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 16:50	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 17:00	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 17:10	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 17:20	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 17:30	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 17:40	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 17:50	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 18:00	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 18:10	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 18:20	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
23-10-16 18:30	227476	3456	251	4	-9999	954243	278062	514929	833233	4244082	6824549
