	ios_all_ratings	ios_current_ratings	ios_file_size	android_avg_rating	android_file_size	android_ratings_1	android_ratings_2	android_ratings_3	android_ratings_4	android_ratings_5	android_total_ratings
21-07-16 7:20	107460.0	5668.0	110	3.9	58.0	201095.0	71943.0	118795.0	167748.0	732956.0	1292537.0
21-07-16 7:30	107460.0	5668.0	110	3.9	58.0	201095.0	71943.0	118795.0	167748.0	732956.0	1292537.0
21-07-16 7:40	107460.0	5668.0	110	3.9	58.0	201095.0	71943.0	118795.0	167748.0	732956.0	1292537.0
21-07-16 7:50	107460.0	5668.0	110	3.9	58.0	201095.0	71943.0	118795.0	167748.0	732956.0	1292537.0
21-07-16 8:00	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 8:10	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 8:20	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 8:30	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 8:40	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 8:50	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 9:00	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 9:10	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 9:20	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 9:30	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 9:40	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 9:50	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 10:00	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 10:10	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 10:20	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 10:30	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 10:40	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 10:50	107460.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 11:00	107972.0	5668.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 11:10	107460.0	6203.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 11:20	107972.0	6203.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 11:30	107972.0	6203.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 11:40	107972.0	6203.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 11:50	107972.0	6203.0	110	3.9	58.0	202746.0	72566.0	119998.0	169779.0	740436.0	1305525.0
21-07-16 12:00	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 12:10	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 12:20	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 12:30	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 12:40	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 12:50	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 13:00	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 13:10	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 13:20	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 13:30	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 13:40	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 13:50	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 14:00	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 14:10	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 14:20	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 14:30	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 14:40	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 14:50	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 15:00	107972.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 15:10	108570.0	6203.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 15:20	108570.0	6842.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 15:30	108570.0	6842.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 15:40	108570.0	6842.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
21-07-16 15:50	108570.0	6842.0	110	3.9	58.0	204585.0	73093.0	121282.0	171872.0	748562.0	1319394.0
